 40.065235 17.352478 643.632080	 170.315582 588.651917
 2.193498 28.128712 643.057861	 282.212708 396.708008
 17.156122 -60.294209 627.237183	 199.575592 406.491211
 23.505407 -7.384196 605.788818	 101.021751 533.115479
 18.797951 -63.237431 612.775208	 194.241394 354.742706
 26.853670 2.691615 670.087524	 200.634140 538.113403
 13.878838 -59.675385 628.598022	 208.799042 410.592285
 12.250182 -2.754942 603.597046	 202.013672 392.905457
 6.233258 -26.335152 643.170959	 138.765594 513.428040
 12.604219 -62.970520 615.686951	 294.537292 361.251404
 -0.461990 -12.958256 611.478455	 158.811432 566.478577
 22.610752 -58.879765 609.668335	 288.193604 501.136078
 39.430260 -22.269466 612.086670	 153.335815 525.194336
 32.617287 -17.111494 645.090698	 109.671921 533.072754
 4.415472 -18.625395 599.683044	 149.416656 568.326050
 0.210807 -52.942314 603.931091	 245.563965 518.361755
 11.363178 -64.906036 618.690552	 217.401230 370.742706
 8.203197 19.060184 628.170471	 225.445770 482.660400
 10.109386 -59.443752 623.292603	 261.974823 356.616943
 26.943348 19.330069 627.474304	 219.854660 301.095825
 32.916920 -51.763748 600.206665	 140.418945 326.621246
 12.360262 -22.472198 652.610535	 213.027634 527.109009
 26.897446 -20.427454 596.952332	 226.736923 302.070068
 44.073967 14.115995 657.671143	 241.630432 413.631836
 18.920780 -2.641038 676.126526	 147.022766 366.785095
 2.794893 -53.123367 604.163147	 245.659271 335.563293
 47.348278 -5.948923 637.101318	 111.353119 445.241180
 9.648671 -22.105837 588.587219	 176.616180 467.456238
 6.839753 -57.322933 608.797913	 233.534622 350.742462
 8.176422 -43.915859 592.081238	 223.743362 308.853638
 -0.164480 -46.681854 595.856628	 251.783447 316.584595
 8.110120 -21.932430 649.923584	 227.223007 517.970459
 -6.318686 -41.286724 596.101929	 126.613617 462.394135
 27.699448 -61.310413 610.342834	 188.361313 548.240967
 3.393313 -11.975624 651.646545	 257.269043 476.026855
 18.480890 -24.555618 654.764038	 197.924133 461.897278
 33.863430 -36.881027 592.756592	 133.363297 387.417358
 -4.832836 -22.707657 608.464294	 228.677002 394.702545
 30.120327 -19.597826 602.936584	 246.208145 532.076965
 21.742023 25.905037 626.634521	 124.892899 438.801758
 27.275284 6.350137 617.861328	 285.768555 386.192261
 12.435489 -58.886559 627.777344	 245.659271 335.563293
