 38.335850 -21.343361 611.440613	 289.510315 398.758057
 29.805393 10.209265 626.170349	 370.752930 258.868408
 -0.461990 -12.958256 611.478455	 339.991821 543.952393
 -0.318761 -48.010872 598.484985	 427.237122 507.631958
 -11.837070 -50.527382 603.004150	 473.710297 305.953217
 -0.641346 2.558160 656.063721	 430.333740 538.024292
 -10.066885 -25.685305 613.332397	 284.389771 465.276245
 5.982074 0.680023 615.864197	 447.073181 350.954468
 20.087019 -38.564510 643.290771	 462.108154 452.318909
 32.857418 -49.349243 598.121521	 325.289246 297.584076
 33.120502 -11.526809 612.542725	 410.840149 560.811096
 5.693065 -36.577568 584.198914	 362.143524 537.707397
 -2.949173 1.243591 627.105835	 331.701599 524.816284
 11.179996 -37.708103 641.054321	 402.903748 451.742065
 8.412305 19.214890 627.121155	 419.836853 553.853027
 19.418472 9.553893 612.051392	 309.770691 472.760254
 -11.573135 -3.661072 637.203308	 284.910980 489.970337
 -4.800960 13.132937 640.765320	 425.857239 495.914764
 7.382496 19.189814 627.692749	 427.911072 412.487854
 11.921222 -43.192490 591.031921	 392.797974 280.716949
 -0.957557 -45.439537 620.220581	 453.967560 557.560547
 29.396955 -16.673729 650.099060	 335.873169 502.800598
 37.862385 -25.147661 607.778320	 334.823608 396.094604
 27.699448 -61.310413 610.342834	 371.556763 525.524475
 22.275841 -37.512173 582.809570	 382.536255 331.732452
 27.866051 30.510067 637.805176	 333.925964 344.551208
 16.006033 22.361269 621.139465	 451.172424 361.041351
